StockCode,Description,AvgPrice,TotalQuantitySold,UniqueCustomers
17191A,rose flower candleincense 16x16cm,3.75,33,9
18007,essential balm 35g tin in envelope,0.170188679245283,11335,40
18010,assorted fragrance bath confetti,0.42,56,6
18094C,whiteblue rect ceramic oil burner,1.1941860465116279,332,22
18096C,white round porcelain tlight holder,2.503846153846154,106,12
18097A,pink tall porcelain tlight holder,2.55,17,10
18097C,white tall porcelain tlight holder,2.5075,1534,110
18098C,porcelain butterfly oil burner,2.891304347826087,1123,104
20615,blue spotty passport cover,1.810886075949367,458,59
20616,cherry blossom passport cover,1.6552272727272728,188,31
20617,first class passport cover,2.132702702702703,452,59
20618,queen of the skies passport cover,2.0889189189189192,193,50
20619,tropical passport cover,2.149264705882353,373,46
20621,economy passport cover,2.1,199,23
20622,vippassport cover,2.0520731707317075,523,59
20652,blue spotty luggage tag,1.2953333333333332,1215,73
20653,cherry blossom luggage tag,1.286451612903226,1927,26
20654,first class luggage tag,1.2410588235294118,339,65
20655,queen of skies luggage tag,1.2656382978723404,264,55
20657,tropical luggage tag,1.2414084507042253,1692,54
20658,red spotty luggage tag,1.2483333333333333,1333,153
20659,economy luggage tag,1.352197802197802,287,55
20660,vip luggage tag,1.25,71,22
20661,blue spotty purse,3.0188372093023257,787,37
20662,first class holiday purse,2.9388,697,23
20663,queen of the skies holiday purse,2.742,1037,13
20664,tropical holiday purse,2.95,31,11
20665,red spotty purse,2.942792792792793,1165,167
20666,economy holiday purse,2.679090909090909,871,22
20667,cherry blossom purse,2.95,21,6
20668,disco ball christmas decoration,0.1186624203821656,20550,181
20669,red heart luggage tag,1.2486231884057972,627,103
20670,vip holiday purse,2.955454545454546,664,20
20671,blue teatime print bowl,1.2482075471698113,731,70
20672,pink teatime print bowl,1.25,116,21
20674,green spotty bowl,1.2486225895316805,3096,196
20675,blue spotty bowl,1.2419925512104284,5816,281
20676,red spotty bowl,1.2405670816044259,9403,372
20677,pink spotty bowl,1.2475317604355716,6888,268
20679,edwardian parasol red,5.819614767255216,6029,271
20681,pink spotty childs umbrella,3.2409420289855073,1303,184
20682,red spotty childs umbrella,3.2656340956340957,2892,296
20684,strawberry dream childs umbrella,3.240506329113924,560,117
20685,red spotty coir doormat,7.41446923597025,9364,626
20686,dolly mixture childrens umbrella,3.264875,561,117
20688,beauty speed expresso cups,4.45,462,9
20689,retro sisters expresso cups,5.598148148148148,400,25
20692,floral elephant soft toy,4.177966101694915,879,75
20693,floral dinosaur green,4.25,26,10
20694,floral pink monster,3.7084615384615387,112,23
20695,floral blue monster,4.173076923076923,82,24
20696,floral soft car toy,3.75,123,28
20697,little green monster soft toy,2.5026315789473683,38,17
20698,little pink monster soft toy,2.5026315789473683,43,17
20699,mousey long legs soft toy,2.5304347826086953,208,42
20700,green cat floral cushion cover,3.125,288,11
20701,pink cat floral cushion cover,3.173076923076923,282,12
20702,pink padded mobile,4.235416666666667,758,151
20703,blue padded soft mobile,4.234848484848484,459,122
20704,mr robot soft toy,5.3,345,60
20705,mrs robot soft toy,5.386734693877551,269,47
20707,crazy daisy heart decoration,1.34859375,1279,48
20711,jumbo bag toys,1.9533382789317506,11326,326
20712,jumbo bag woodland animals,1.9862594594594594,15709,387
20713,jumbo bag owls,1.967599569429494,19463,371
20714,posy shopper bag,0.5975,1513,10
20716,party food shopper bag,1.2444767441860465,1392,121
20717,strawberry shopper bag,1.2579487179487179,5335,283
20718,red spotty shopper bag,1.2496900114810563,12255,428
20719,woodland charlotte bag,0.8416168224299065,19027,365
20723,strawberry charlotte bag,0.8501305220883534,14542,356
20724,red spotty charlotte bag,0.8446516257465162,25816,524
20725,lunch bag red spotty,1.6461441165197392,37750,845
20726,lunch bag woodland,1.6512445550715618,20916,585
20727,lunch bag  black skull,1.6399951100244499,25392,705
20728,lunch bag cars blue,1.6495274725274724,23304,702
20729,red spotty candy bag,1.227910447761194,4626,39
20730,strawberry candy bag,1.2139024390243902,1659,34
20731,posy candy bag,1.1084782608695654,4100,40
20733,gold mini tape measure,0.8098039215686273,1546,67
20734,silver mini tape measure,0.8442647058823529,1379,50
20735,black mini tape measure,0.8123809523809524,824,30
20736,pink mini tape measure,0.8427777777777777,286,18
20738,green mini tape measure,0.842,1585,46
20747,piccadilly tea set,14.729999999999999,309,48
20748,kensington coffee set,12.162280701754385,359,86
20749,assorted colour mini cases,7.783772290809328,2972,426
20750,redwhite dot mini cases,7.77355504587156,3608,471
20751,funky washing up gloves assorted,2.096177156177156,2736,264
20752,retro blue spotty washing up gloves,2.0768518518518517,1317,188
20753,retro pink spot washing up gloves,2.057894736842105,187,30
20754,retro red spotty washing up gloves,2.0844152046783626,4815,363
20755,blue paisley pocket book,0.8388372093023256,5084,74
20756,green fern pocket book,0.8281818181818181,5679,40
20757,red daisy pocket book,0.8467857142857144,5301,49
20758,abstract circles pocket book,0.8373684210526315,5378,61
20759,chrysanthemum pocket book,0.8281818181818181,5734,35
20760,garden path pocket book,0.8305,5484,47
20761,blue paisley sketchbook,3.703931623931624,413,93
20762,green fern sketchbook,3.6717117117117115,416,88
20763,daisy sketchbook,3.5450847457627117,245,54
20764,abstract circles sketchbook,3.6902068965517243,597,107
20765,chrysanthemum sketchbook,3.725454545454545,405,96
20766,garden path sketchbook,3.6837600000000004,475,100
20767,blue paisley journal,2.516013513513513,750,112
20768,green fern journal,2.468034188034188,702,98
20769,daisy journal,2.4574193548387093,403,48
20770,abstract circle journal,2.4328947368421048,902,94
20771,chrysanthemum  journal,2.472410714285714,551,91
20772,garden path journal,2.3989312977099235,926,105
20773,blue paisley notebook,1.6346938775510202,3303,78
20774,green fern notebook,1.6305194805194805,3419,68
20775,daisy notebook,1.622222222222222,3509,43
20776,abstract circles notebook,1.622222222222222,3187,50
20777,chrysanthemum notebook,1.6342105263157896,3525,78
20778,garden path notebook,1.6314814814814815,3595,66
20780,black ear muff headphones,5.477540983606557,174,35
20781,gold ear muff headphones,5.230975609756097,77,34
20782,camouflage ear muff headphones,5.5245098039215685,101,39
20783,heart ear muff headphones,5.440588235294118,130,20
20784,red retro bar stool,38.95,26,6
20785,fuschia retro bar stool,39.24411764705883,44,14
20786,black retro bar stool,39.50555555555556,22,9
20787,blue retro bar stool,39.45,11,7
20793,blue tiled tray,6.35,273,13
20794,blue  tile hook,2.5354838709677416,190,27
20795,large blue provencal ceramic ball,2.0758823529411763,116,15
20796,small blue provencal ceramic ball,1.65,88,11
20798,clear milkshake glass,2.068604651162791,445,35
20799,pink milkshake glass,2.0,167,11
20801,large pink glass sundae dish,1.3373972602739725,902,61
20802,small glass sundae dish clear,1.545,895,68
20803,small pink glass sundae dish,1.0755737704918034,1091,50
20804,glass chicken butter dish,1.6416666666666666,283,21
20814,silver finch decoration,1.2025,187,7
20816,gold flower cushion cover,5.378571428571428,24,5
20818,gold teddy bear,3.522727272727273,79,20
20819,silver teddy bear,3.6242,208,39
20820,silver looking mirror,4.95,11,6
20821,goldie looking mirror,4.95,26,10
20823,gold wine goblet,3.013529411764706,248,14
20825,gold wine glass,3.6300000000000003,360,5
20826,silver aperitif glass,1.3478571428571429,355,11
20827,gold aperitif glass,1.63375,173,5
20828,glitter butterfly clips,2.530813953488372,4220,261
20829,glitter hanging butterfly string,2.1146135265700483,4700,207
20830,silver photo frame,2.073404255319149,296,36
20831,gold photo frame,1.943269230769231,394,34
20832,red flock love heart photo frame,0.7022115384615385,1576,86
20835,french lattice cushion cover,0.8325,78,8
20836,french paisley cushion cover,1.1209090909090909,224,18
20837,french floral cushion cover,1.1844444444444444,165,17
20838,french lattice cushion cover,1.1817948717948719,391,36
20839,french paisley cushion cover,1.3456666666666666,507,53
20840,french floral cushion cover,1.3365573770491803,813,50
20845,zinc heart lattice 2 wall planter,6.35,73,15
20846,zinc heart lattice tlight holder,1.254885496183206,1321,105
20847,zinc heart lattice charger large,3.75,71,17
20848,zinc heart lattice charger small,2.9500000000000006,39,10
20849,zinc heart lattice double planter,3.5100000000000002,670,15
20850,zinc heart lattice planter bowl,2.8434782608695657,820,19
20851,zinc heart lattice tray oval,5.755357142857143,334,21
20854,blue patch purse pink heart,1.6476190476190478,363,66
20855,pink patch purse blue heart,1.65,142,41
20856,denim patch purse pink butterfly,1.65,332,70
20857,blue rose patch purse pink butterfl,1.65,248,57
20860,gold cosmetics bag with butterfly,2.1,19,10
20861,gold cosmetic bag pink star,2.1,45,15
20862,pink patch pencil case blue heart,2.0853571428571427,316,21
20863,blue patch pencil case pink heart,2.0707142857142857,284,35
20864,denim patch pencil case butterfly,2.0514814814814817,247,20
20865,patchwork pencil case butterfly,2.059,247,24
20866,blue rose fabric mirror,1.263448275862069,963,76
20867,pink rose fabric mirror,1.2249350649350648,844,68
20868,silver fabric mirror,0.7671739130434783,789,40
20869,gold fabric mirror,0.713125,459,30
20871,opulent velvet set3 candles,1.8384615384615386,1202,72
20878,set9 christmas tlights scented,1.2417391304347827,689,61
20879,tree of noah festive scented candle,0.65,50,8
20886,box of 9 pebble candles,1.9379518072289157,1686,163
20888,set 3 jardin de femme scent candles,2.3536363636363635,359,10
20889,jardin de femme scented candle,2.029166666666667,656,12
20892,set3 tall glass candle holder pink,10.593478260869565,86,21
20893,hanging bauble tlight holder small,2.502272727272727,538,41
20894,hanging bauble tlight holder large,2.9368852459016392,227,47
20896,vintage notebook pink flower,2.95,38,13
20897,vintage notebook paris days,2.8932432432432433,298,29
20898,vintage notebook travelogue,2.862820512820513,307,35
20899,vintage notebook red rose,2.95,44,12
20901,vintage keepsake box pink flower,6.35,33,14
20902,vintage keepsake box paris days,6.003333333333333,69,11
20903,vintage keepsake box travelogue,5.655263157894736,103,19
20906,vintage notebook beauty girl,2.95,77,25
20910,vintage photo album paris days,6.321428571428571,80,11
20913,set5 blue spotty lid glass bowls,2.936666666666667,295,26
20914,set5 red spotty lid glass bowls,2.9273531026908293,18235,647
20931,blue pot plant candle,3.3859223300970873,611,91
20932,pink pot plant candle,3.444642857142857,305,54
20933,yellow pot plant candle,3.4511627906976745,493,38
20934,set3 pot plant candles,5.397916666666667,167,44
20935,round cactus candle,2.6425,293,35
20936,forked cactus candle,2.8769090909090913,309,42
20940,set6 garden gnome tlight candles,2.905555555555556,113,15
20941,frog candle,1.185142857142857,928,54
20943,set6 gingerbread star tlights,1.25,332,46
20950,set6  angel tlights whitegold,0.4577272727272727,652,57
20952,porcelain cherub bell small,0.42000000000000004,321,19
20953,porcelain cherub bell large,1.65,19,7
20956,porcelain tlight holders assorted,1.2639310344827588,2120,117
20957,porcelain hanging bell small,1.45,67,12
20958,porcelain hanging bell large,1.9500000000000002,26,9
20960,watermelon bath sponge,1.2486805555555556,1739,85
20961,strawberry bath sponge,1.274245283018868,3138,177
20963,apple bath sponge,1.2799328859060404,3038,168
20964,polyester filler pad 60x40cm,2.55,20,6
20966,sandwich bath sponge,1.2491949152542372,2576,137
20967,grey floral feltcraft shoulder bag,3.7434420289855073,1023,187
20968,green floral feltcraft shoulder bag,3.75,37,14
20969,red floral feltcraft shoulder bag,3.7783044315992296,3090,285
20970,pink floral feltcraft shoulder bag,3.7577317554240635,2403,278
20971,pink blue felt craft trinket box,1.2539292730844793,20500,490
20972,pink cream felt craft trinket box,1.2567366720516961,20064,568
20973,12 pencil small tube woodland,0.6578504672897196,9091,309
20974,12 pencils small tube skull,0.648314606741573,12699,370
20975,12 pencils small tube red spotty,0.649113924050633,17490,460
20976,12 pencils small tube posy,0.65,518,51
20977,36 pencils tube woodland,1.2489473684210526,3508,242
20978,36 pencils tube skulls,1.2471782178217823,3789,253
20979,36 pencils tube red spotty,1.2445192307692308,7741,310
20980,36 pencils tube posy,1.25,171,35
20981,12 pencils tall tube woodland,0.8490909090909091,4431,290
20982,12 pencils tall tube skulls,0.8489516129032257,4601,316
20983,12 pencils tall tube red spotty,0.8495348837209302,6046,359
20984,12 pencils tall tube posy,0.44865800865800864,5821,178
20985,heart calculator,1.2602678571428572,2131,162
20986,blue calculator ruler,1.2802222222222224,994,94
20987,geisha girl chopsticks set5,1.95,117,11
20988,trellis flower chopsticks set5,1.9500000000000002,24,8
20989,urban chic chopsticks set5,1.9437499999999999,397,29
20990,spring flower chopsticks set5,1.94,857,54
20991,jazz hearts magnetic memo pad,0.609375,7058,12
20992,jazz hearts purse notebook,0.5896455696202532,6030,222
20993,jazz hearts memo pad,0.59875,10945,23
20994,jazz hearts spiral notepad,0.85,47,12
20996,jazz hearts address book,0.3014760147601476,6123,179
20997,rose du sud cushion cover,4.95,81,25
20998,rose du sud oven glove,2.9431034482758625,217,52
21000,rose du sud cosmetics bag,4.19375,616,37
21001,rose du sud washbag,5.95,67,29
21002,rose du sud drawstring bag,4.25,110,25
21003,rose du sud cushion cover,6.35,22,10
21004,rose du sud childs apron,4.25,105,40
21007,etched glass droplet decoration,0.7641025641025642,1905,36
21009,etched glass star tree decoration,1.25,885,72
21010,etched glass bird tree decoration,1.25,806,62
21011,glitter snow pear tree decoration,1.1653211009174311,1774,84
21012,antique all glass candlestick,2.027692307692308,1470,112
21014,swiss chalet tree decoration,0.5596428571428571,1662,91
21015,dark bird house tree decoration,0.46184782608695646,1431,80
21016,light bird house tree decoration,0.807,804,58
21017,red bird house tree decoration,0.8025641025641026,548,32
21018,bird box christmas tree decoration,0.85,207,30
21025,space frog,1.3455555555555554,221,30
21026,space owl,1.2898214285714287,396,48
21027,ninja rabbit pink,1.2420833333333332,276,39
21028,ninja rabbit black,1.387,237,31
21030,space cadet red,1.27075,219,37
21031,space cadet black,1.2832,126,23
21032,space cadet white,1.3575,167,28
21033,jumbo bag charlie and lola toys,2.5903412969283277,3411,163
21034,rex cashcarry jumbo shopper,0.95,3884,800
21035,set2 red spotty tea towels,3.066064,5534,327
21038,set4 modern vintage cotton napkins,2.1124489795918366,156,39
21039,red spotty shopping bag,2.6102999999999996,1283,141
21040,modern vintage cotton shopping bag,2.110851063829787,855,43
21041,red spotty oven glove double,2.9428358208955223,2228,191
21042,red spotty apron,5.923235294117648,1401,200
21043,apron modern vintage cotton,3.5230337078651686,601,81
21051,ribbons purse,2.0955208333333335,663,79
21054,nurses bag soft toy,8.94390243902439,350,119
21055,tool box soft toy,9.210338983050846,316,122
21056,doctors bag soft toy,9.227988826815642,525,119
21058,party invites woodland,0.853696682464455,2216,148
21059,party invites dinosaurs,0.8473737373737373,1550,158
21060,party invites balloon girl,0.8391869918699187,1208,102
21061,party invites football,0.8336507936507936,1303,104
21062,party invites spaceman,0.8450413223140496,1009,102
21063,party invites jazz hearts,0.8552525252525253,1363,143
21064,boom box speaker boys,5.382075471698113,721,75
21065,boom box speaker girls,4.794262295081967,516,44
21066,vintage red mug,1.0464545454545455,2258,81
21067,vintage red teatime mug,1.093756906077348,4517,130
21068,vintage billboard lovehate mug,1.1899615384615385,3901,149
21069,vintage billboard tea mug,1.232707182320442,4901,110
21070,vintage billboard mug,1.252710843373494,1908,107
21071,vintage billboard drink me mug,1.215830721003135,3981,163
21076,set20 collage paper napkin,0.8443999999999999,759,60
21077,set20 woodland paper napkins,0.830235294117647,2745,111
21078,set20 strawberry paper napkins,0.844029304029304,6539,342
21080,set20 red spotty paper napkins,0.8374882075471698,29494,798
21082,set20 fruit salad paper napkins,0.8332773109243697,7062,94
21084,set6 collage paper cups,0.35285714285714287,2486,113
21085,set6 woodland paper cups,0.6363793103448276,13712,42
21086,set6 red spotty paper cups,0.6506973058637084,15834,311
21087,set6 posies paper cups,0.5623809523809524,220,19
21088,set6 fruit salad paper cups,0.3534285714285714,16503,95
21089,set6 green spring paper cups,0.36888888888888893,316,32
21090,set6 collage paper plates,0.556125,2285,129
21091,set6 woodland paper plates,0.8165714285714285,13668,31
21092,set6 strawberry paper plates,0.7966666666666666,12806,15
21094,set6 red spotty paper plates,0.8274137931034483,17752,328
21095,set6 posies paper plates,0.85,242,24
21096,set6 fruit salad  paper plates,0.5442574257425743,15776,91
21097,set6 green spring  paper plate,0.85,32,5
21098,christmas toilet roll,1.2651981351981352,6431,269
21099,set6 strawberry paper cups,0.6316666666666666,13284,20
21100,charlie and lola charlotte bag,1.5760625,2221,119
21102,candle in jar collage  vanilla,2.55,65,10
21106,cream slice flannel chocolate spot,2.9136363636363636,698,98
21107,cream slice flannel pink spot,2.901304347826087,2157,167
21108,fairy cake flannel assorted colour,1.9980487804878047,12532,325
21109,large cake towel chocolate spots,5.617469879518072,1054,131
21110,large cake towel pink spots,6.289055793991416,1251,173
21111,swiss roll towel chocolate  spots,2.621538461538462,1208,109
21112,swiss roll towel pink  spots,2.8067441860465117,2077,104
21114,lavender scented fabric heart,1.2674309978768579,5591,359
21115,rose caravan doorstop,6.418603351955308,1161,266
21116,owl doorstop,4.94085020242915,954,164
21117,blond doll doorstop,1.912692307692308,328,23
21118,shopping bag doorstop,2.5357142857142856,69,7
21121,set10 red spotty party candles,1.2461856963613551,15036,466
21122,set10 pink spotty party candles,1.2483222370173102,12100,441
21123,set10 ivory spotty party candles,1.2415025906735753,2572,125
21124,set10 blue spotty party candles,1.2465737704918032,9963,406
21125,set 6 football celebration candles,1.2209708737864078,2045,162
21126,set of 6 girls celebration candles,1.2210328638497652,2197,169
21127,colourful fishing gnome,5.8,284,25
21128,gold fishing gnome,6.3967857142857145,96,22
21129,silver fishing gnome,7.463095238095238,105,24
21130,colourful standing gnome,3.355128205128205,706,29
21131,gold standing gnome,4.008620689655173,253,18
21132,silver standing gnome,4.043103448275862,72,25
21133,painted bird assorted christmas,1.6899999999999997,409,38
21134,victorian metal postcard christmas,1.65,351,40
21135,victorian  metal postcard spring,1.6795907928388747,5773,251
21136,painted metal pears assorted,1.6879916897506926,10255,449
21137,black record cover frame,3.6303696857670977,18417,198
21143,antique glass heart decoration,1.944267515923567,2003,128
21144,pink poodle hanging decoration,0.5044186046511628,505,40
21145,antique glass place setting,1.2402564102564102,839,34
21146,antique glass ridged hanging ball,1.9384615384615385,775,47
21147,jingle bells tree decoration,2.051276595744681,331,33
21153,red spotty tablecloth,10.632439024390244,370,91
21154,red spotty oven glove,1.2675453047775946,6900,327
21155,red spotty peg bag,2.2831369863013697,5805,364
21156,red spotty childs apron,1.9500624219725344,8871,472
21157,red spotty washbag,2.0962727272727273,606,66
21158,moody girl door hanger,0.9521771217712178,2509,184
21159,moody boy  door hanger,1.0305581395348837,2060,146
21160,keep out girls door hanger,1.2712244897959184,763,44
21161,keep out boys door hanger,1.3766867469879518,2285,120
21162,toxic area  door hanger,0.9431535269709543,2325,172
21163,do not touch my stuff door hanger,1.0295964125560537,2734,158
21164,home sweet home metal sign,2.9307278481012657,5839,356
21165,beware of the cat metal sign,1.6638770388958593,9080,321
21166,cook with wine metal sign,1.977408906882591,19652,475
21167,white sage incense,0.209,2058,32
21169,youre confusing me metal sign,1.661563981042654,8642,278
21171,bathroom metal sign,1.4244493392070483,1810,142
21172,party metal sign,1.4598536585365853,7444,420
21173,loo roll  metal sign,1.6467213114754096,321,44
21174,pottering in the shed metal sign,1.9918013856812935,9247,402
21175,gin  tonic diet metal sign,2.265927475592748,20229,553
21179,no junk mail metal sign,0.9829076086956521,4039,231
21181,please one person  metal sign,2.073416347381865,24166,598
21185,home sweet home  blackboard,6.326111111111111,120,34
21186,white dove honeycomb paper garland,1.622142857142857,5017,187
21187,white bell honeycomb paper garland,1.6357142857142857,1251,90
21188,3d hearts  honeycomb paper garland,2.9295918367346943,856,69
21189,white honeycomb paper garland,1.6401639344262295,543,53
21190,pink hearts paper garland,1.6339080459770117,756,71
21191,large white honeycomb paper bell,2.068189655172414,1210,96
21192,white bell honeycomb paper,1.6298319327731092,1845,96
21193,white honeycomb paper fan,2.0726666666666667,84,14
21194,pink  honeycomb paper fan,1.298225806451613,501,51
21195,pink  honeycomb paper ball,1.9910909090909092,622,49
21196,round white confetti in tube,1.65,158,16
21197,multicolour  confetti in tube,1.5990624999999998,412,29
21198,white heart confetti in tube,1.484578313253012,1190,75
21199,pink  heart confetti in tube,1.5170212765957447,1170,86
21200,multicolour honeycomb paper garland,1.5684210526315787,1287,64
21201,tropical  honeycomb paper garland,2.488095238095238,2629,109
21202,dolly honeycomb garland,1.5642857142857143,814,53
21203,butterflies  honeycomb garland,1.6334862385321098,1445,85
21204,daisies  honeycomb garland,1.6404109589041096,1478,109
21205,multicolour 3d balls garland,2.538157894736842,596,86
21206,strawberry honeycomb  garland,1.6083333333333334,2058,117
